1 Time,1 Position,2 Position,3 Position,4 Position,5 Position,6 Position,7: Position,8 Position,9 Position,10 Position,11 Position,12 Position
1.65,0.0402000248432159,0.00900000333786011,0.0448000133037567,0.0700999796390533,0.0630999803543091,0.0710999965667725,-0.0163000226020813,-0.000300019979476929,-0.0277000069618225,0.0394999980926514,0.0248999893665314,0.0411999821662903
1.7,0.0441000163555145,0.0243000090122223,0.0458000004291534,0.0724999904632568,0.0474999845027924,0.0682999789714813,-0.0277000069618225,-0.012800008058548,-0.0374999940395355,0.0276999771595001,0.0377999842166901,0.0474999845027924
1.75,0.0430000126361847,0.0378000140190125,0.0402000248432159,0.0661999881267548,0.0283999741077423,0.0596999824047089,-0.038100004196167,-0.0236000120639801,-0.0437000095844269,0.0110999941825867,0.0443999767303467,0.0443999767303467
1.8,0.035400003194809,0.0444000065326691,0.0295000076293945,0.0526999831199646,0.00309997797012329,0.0401999950408936,-0.0451000034809113,-0.0333000123500824,-0.0479000210762024,-0.00420001149177551,0.0446999967098236,0.0356999933719635
1.85,0.0243000090122223,0.0479000210762024,0.012800008058548,0.0318999886512756,-0.0191000103950501,0.0162999927997589,-0.0491999983787537,-0.0406000018119812,-0.0479000210762024,-0.0209000110626221,0.0429999828338623,0.023499995470047
1.9,0.00800001621246338,0.0437000095844269,-0.00449997186660767,0.00689998269081116,-0.0430000126361847,-0.0104000270366669,-0.0496000051498413,-0.0451000034809113,-0.0461000204086304,-0.0344000160694122,0.0297999978065491,0.00720000267028809
1.95,-0.00899997353553772,0.031900018453598,-0.0224999785423279,-0.0191000103950501,-0.0565000176429749,-0.0350000262260437,-0.0471999943256378,-0.0464999973773956,-0.039900004863739,-0.0424000024795532,0.0179999768733978,-0.0105000138282776
2,-0.0211999714374542,0.0177000164985657,-0.0363999903202057,-0.0430000126361847,-0.0649000108242035,-0.0552000105381012,-0.0409000217914581,-0.0446999967098236,-0.031900018453598,-0.0448000133037567,-0.00249999761581421,-0.0233000218868256
2.05,-0.0356999933719635,0.000700026750564575,-0.0453999936580658,-0.0593000054359436,-0.0649000108242035,-0.067300021648407,-0.0312000215053558,-0.0406000018119812,-0.0212000012397766,-0.0412999987602234,-0.016400009393692,-0.0361000001430512
2.1,-0.0429999828338623,-0.0155999958515167,-0.0474999845027924,-0.0666000247001648,-0.0555000007152557,-0.0683000087738037,-0.020799994468689,-0.0329000055789948,-0.00940001010894775,-0.0333000123500824,-0.0333000123500824,-0.0451000034809113
